model_id,K,N,gene,balance,rein_L,match,degenerate,gt_tt,rein_tt
110_9_0,10,3,v_CckA,pure_activator,1,True,False,"[0, 1]","[0, 1]"
110_9_0,10,3,v_ChpT,pure_activator,9,False,True,"[0, 1]","[1, 1]"
110_9_0,10,3,v_ClpXP_RcdA,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,3,v_CpdR,pure_activator,2,True,False,"[0, 1]","[0, 1]"
110_9_0,10,3,v_CtrAb,balanced,8,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,10,3,v_DivJ,balanced,7,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,10,3,v_DivK,balanced,12,False,False,"[0, 0, 1, 0]","[1, 0, 1, 0]"
110_9_0,10,3,v_DivL,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,3,v_PleC,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,5,v_CckA,pure_activator,7,True,False,"[0, 1]","[0, 1]"
110_9_0,10,5,v_ChpT,pure_activator,7,True,False,"[0, 1]","[0, 1]"
110_9_0,10,5,v_ClpXP_RcdA,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,5,v_CpdR,pure_activator,1,True,False,"[0, 1]","[0, 1]"
110_9_0,10,5,v_CtrAb,balanced,3,True,False,"[0, 0, 1, 0]","[0, 0, 1, 0]"
110_9_0,10,5,v_DivJ,balanced,7,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,10,5,v_DivK,balanced,15,False,False,"[0, 0, 1, 0]","[1, 0, 1, 1]"
110_9_0,10,5,v_DivL,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,5,v_PleC,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,10,v_CckA,pure_activator,11,False,True,"[0, 1]","[1, 1]"
110_9_0,10,10,v_ChpT,pure_activator,7,True,False,"[0, 1]","[0, 1]"
110_9_0,10,10,v_ClpXP_RcdA,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,10,v_CpdR,pure_activator,0,True,False,"[0, 1]","[0, 1]"
110_9_0,10,10,v_CtrAb,balanced,3,True,False,"[0, 0, 1, 0]","[0, 0, 1, 0]"
110_9_0,10,10,v_DivJ,balanced,7,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
